x1-Rated weight,x2-Actual weight,x3-Multiplier,x4-Throttle position,x5-Engine speed,x6-Luffing handle signal,x7-Winch handle signal,x8-Slewing handle signal,x9-Telescopic handle signal,x10-Left slewing current,x11-Right slewing current,x12-Flexiable pump control current,x13-Luffing balance valve control current,x14-Winch up pump control current,x15-Winch down pump control current,x16-Winch motor control current,y1-Winch speed,y2-Winch pump outlet pressure,y3-Slewing angle,y4-Boom length,y5-Flexiable pump pressure,y6-Luffing angle,y7-Amplitude,y8-Height
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.3,14.8,2.2,0.18,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2.3,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2.3,0.18,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2.1,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2.5,0.18,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5.3,14.8,1.8,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.3,5.3,14.8,2.5,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5.3,14.8,2.5,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.7,5.3,14.8,2.4,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.7,5.3,14.8,2.3,0.18,12.41,2.63
6,0,4,0,801,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2.5,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5.3,14.8,2.2,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.7,5.3,14.8,2.5,0.18,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.3,14.8,2.3,0.18,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5.3,14.8,2.1,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.3,14.8,2.4,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.3,14.8,2.2,0.18,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5.3,14.8,2.2,0.13,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5.3,14.8,2.3,0.13,12.41,2.63
6,0,4,0,801,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2.2,0.13,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.3,14.8,2.3,0.13,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.3,14.8,2.3,0.13,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.3,14.8,2.2,0.13,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.3,5.3,14.8,2.4,0.13,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5.3,14.8,2.2,0.13,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2.2,0.13,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.5,5.3,14.8,2.3,0.13,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2.2,0.13,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2.3,0.13,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,0,0,0,0,0,0,1.6,5.3,14.8,2.3,0.13,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.3,5.3,14.8,2.4,0.13,12.41,2.63
6,0,4,0,800,0,0,0,0,0,0,0,0,0,0,0,0,1.4,5.3,14.8,2.3,0.12,12.41,2.63
6,0,4,0,799,0,0,0,0,0,0,207,0,0,0,0,0,1.4,5.3,14.8,2.3,0.12,12.41,2.63
6,0,4,0,799,1000,0,0,0,0,0,277,0,0,0,0,0,1.2,5.3,14.8,1.4,0.17,12.41,2.63
6,0,4,0,791,1000,0,0,0,0,0,347,0,0,0,0,0,1.6,5.3,14.8,23.1,0.17,12.41,2.63
6,0,4,0,757,1000,0,0,0,0,0,403,0,0,0,0,0,4.5,5.3,14.8,89.3,0.17,12.41,2.63
6,1.2,4,0,766,1000,0,0,0,0,0,377,0,0,0,0,0,11.6,5.3,14.8,137.4,0.17,12.41,2.63
6,0.5,4,0,811,375,0,0,0,0,0,344,0,0,0,0,0,14.7,5.3,14.8,138.3,0.33,12.41,2.67
6,0.5,4,0,814,208,195,0,0,0,0,275,0,0,370,263,0,47.5,5.3,14.8,134.3,0.8,12.42,2.75
6,0.5,4,0,808,0,331,0,0,0,0,0,0,0,403,285,0.05,25.4,5.3,14.8,129,0.95,12.42,2.8
6,0.5,4,0,824,0,535,0,0,0,0,0,0,0,498,343,0.01,47.7,5.3,14.8,50.4,1.06,12.43,2.84
6,0.5,4,0,778,0,766,0,0,0,0,0,0,0,569,448,0.02,67.1,5.3,14.8,39.4,1.16,12.43,2.88
6,0.5,4,0,791,0,1000,0,0,0,0,0,0,0,648,552,0.12,69.3,5.3,14.8,30.9,1.13,12.43,2.88
6,0.5,4,0,798,0,1000,0,0,0,0,0,0,0,648,558,0.35,67.8,5.3,14.8,25.4,1.13,12.43,2.88
6,0.5,4,0,800,0,1000,0,0,0,0,0,0,0,648,558,0.45,67.3,5.3,14.8,21.4,1.12,12.43,2.88
6,0.5,4,0,800,0,1000,0,0,0,0,0,0,0,648,558,0.52,67.8,5.3,14.8,19.2,1.12,12.43,2.88
6,0.5,4,0,801,0,1000,0,0,0,0,0,0,0,648,558,0.56,68.3,5.3,14.8,17.6,1.12,12.43,2.88
6,0.5,4,0,801,0,1000,0,0,0,0,0,0,0,648,558,0.61,67.9,5.3,14.8,16.8,1.12,12.43,2.88
6,0.5,4,0,801,0,1000,0,0,0,0,0,0,0,648,558,0.61,67.5,5.3,14.8,16.1,1.12,12.43,2.88
6,0.5,4,0,800,0,1000,0,0,0,0,0,0,0,648,558,0.76,66.5,5.3,14.8,15.8,1.12,12.43,2.88
6,0.5,4,0,799,0,1000,0,0,0,0,0,0,0,648,558,0.82,66.5,5.3,14.8,15.5,1.12,12.43,2.88
6,0.5,4,0,801,108,1000,0,0,0,0,223,0,0,648,558,0.86,66.5,5.3,14.8,41,1.12,12.43,2.88
6,1.1,4,0,779,73,1000,0,0,0,0,225,0,0,648,558,0.97,66.4,5.3,14.8,132.6,1.14,12.43,2.88
6,0.5,4,0,804,4,1000,0,0,0,0,211,0,0,648,558,1.03,66.4,5.3,14.8,131.4,1.25,12.43,2.88
6,0.5,4,0,817,0,1000,0,0,0,0,0,0,0,648,558,1.18,67.3,5.3,14.8,54.3,1.3,12.43,2.92
6,0.5,4,0,802,0,1000,0,0,0,0,0,0,0,648,558,1.29,66.1,5.3,14.8,41.9,1.3,12.43,2.92
6,1.2,4,0,768,142,1000,0,0,0,0,251,0,0,648,558,1.4,65.3,5.3,14.8,130.1,1.23,12.43,2.92
6,0.5,4,0,787,142,1000,0,0,0,0,250,0,0,648,558,1.52,65.8,5.3,14.8,129.3,1.22,12.43,2.92
6,0.5,4,0,804,136,1000,0,0,0,0,247,0,0,648,558,1.49,65.7,5.3,14.8,128.3,1.3,12.43,2.92
6,0.5,4,0,803,126,1000,0,0,0,0,238,0,0,648,558,1.64,66.6,5.3,14.8,129.3,1.46,12.43,2.94
6,0.5,4,0,805,92,1000,0,0,0,0,232,0,0,648,558,2.02,66,5.3,14.8,128.9,1.59,12.43,2.96
6,0.5,4,0,803,94,1000,0,0,0,0,233,0,0,648,558,2.21,65.5,5.3,14.8,126.2,1.69,12.43,3
6,0.5,4,0,800,94,1000,0,0,0,0,232,0,0,648,558,2.19,66.9,5.3,14.8,127.1,1.83,12.44,3.04
6,0.5,4,0,800,92,1000,0,0,0,0,233,0,0,648,558,2.71,66.8,5.3,14.8,127.1,1.91,12.44,3.04
6,0.5,4,0,802,63,1000,0,0,0,0,224,0,0,648,558,2.77,66.5,5.3,14.8,126,2.03,12.44,3.08
6,0.5,4,0,805,13,1000,0,0,0,0,205,0,0,648,558,3.16,65.7,5.3,14.8,125,2.15,12.44,3.12
6,0.5,4,0,801,13,1000,0,0,0,0,205,0,0,648,558,3.55,63.5,5.3,14.8,123.2,2.2,12.44,3.12
6,0.5,4,0,800,104,1000,0,0,0,0,211,0,0,648,558,4.02,64.4,5.3,14.8,123.8,2.29,12.44,3.16
6,0.5,4,0,777,332,1000,0,0,0,0,281,0,0,648,558,5.1,63.5,5.3,14.8,123.8,2.35,12.44,3.16
6,0.5,4,0,760,475,996,0,0,0,0,351,0,0,648,558,5.24,62.6,5.3,14.8,122.3,2.4,12.44,3.2
6,0.5,4,0,788,481,1000,0,0,0,0,360,0,0,648,558,5.97,64.3,5.3,14.8,120.1,2.6,12.44,3.24
6,0.5,4,0,798,500,1000,0,0,0,0,360,0,0,648,558,6.62,64.8,5.3,14.8,121.2,2.8,12.45,3.28
6,0.5,4,0,799,520,1000,0,0,0,0,365,0,0,648,558,7.18,65.3,5.3,14.8,119.8,3.09,12.45,3.35
6,0.5,4,0,799,551,1000,0,0,0,0,370,0,0,648,558,7.74,64.8,5.3,14.8,118,3.36,12.45,3.41
6,0.5,4,0,799,568,1000,0,0,0,0,375,0,0,648,558,8.25,64.3,5.3,14.8,117.8,3.66,12.45,3.48
6,0.5,4,0,799,571,1000,0,0,0,0,380,0,0,648,558,8.71,64.7,5.3,14.8,116,3.99,12.46,3.57
6,0.5,4,0,798,597,1000,0,0,0,0,385,0,0,648,558,10.43,63.7,5.3,14.8,113.6,4.41,12.46,3.68
6,0.5,4,0,798,662,993,0,0,0,0,390,0,0,646,555,9.81,63.4,5.3,14.8,111.7,4.74,12.46,3.78
6,0.5,4,0,806,710,885,0,0,0,0,393,0,0,610,510,10.22,59.8,5.3,14.8,109.3,5.05,12.46,3.85
6,0.5,4,0,810,772,833,0,0,0,0,394,0,0,594,485,10.46,55.5,5.3,14.8,109.3,5.38,12.46,3.94
6,0.5,4,0,815,850,741,0,0,0,0,399,0,0,559,436,9.96,49.3,5.3,14.8,106.1,5.66,12.45,4.02
6,0.5,4,0,807,893,676,0,0,0,0,404,0,0,546,418,9.99,48,5.3,14.8,105.3,5.93,12.45,4.1
6,0.5,4,0,813,921,643,0,0,0,0,409,0,0,536,403,8.45,41.8,5.3,14.8,105.6,6.24,12.45,4.18
6,0.5,4,0,800,918,650,0,0,0,0,414,0,0,536,406,7.32,41.8,5.3,14.8,101.5,6.58,12.45,4.25
6,0.5,4,0,797,922,657,0,0,0,0,419,0,0,536,405,7.1,41.5,5.3,14.8,102.9,6.92,12.45,4.34
6,0.5,4,0,791,927,711,0,0,0,0,424,0,0,554,431,6.91,44.1,5.3,14.8,102.7,7.18,12.44,4.41
